Continent,Region,Country,Code,Year,Population,Entity,Life_expectancy,GDP_pc,Health%_GDP,Below_$2.15%,Below_$2.15_num,Palma,Gini,Homicide,Conflict_terror,Violence,Nature_forces,Heat_cold,TB_vac,HepB_vac,Influenza_vac,Polio_inact_vac,Measles_vac,Pneumo_vac,Polio_vac,Rubella_vac,Rota_vac,Yellow_fever_vac,DTP_vac,Diarrhea,Kidney_dis,Meningitis,Malaria,TB,Acute_hep,Maternal,Neonatal,Cardio,HIV_AIDS,Neoplasms,Chronic_respi,Lower_respi,Cirrhosis,Digestive_dis,Diabetes,Nutr_def,Protein_def,Suicide,Self_harm,Drug_use,Alcohol,Alzheimer,Parkinson,Road_injury,Fire_heat,Drowning,Poison,Hip_2,Hip_3,Hip_4,Hip_5,Hip_6,Vac_mean,Deaths,Hip_2_Percentage,Hip_3_Percentage,Hip_4_Percentage,Hip_5_Percentage,Hip_6_Percentage
Africa,Central Africa,Cameroon,CMR,2000,15091598,Cameroon,52.9317,2673.2998,0.6743055,,,,,3.041428,0.1391502742121808,3.458878244702781,0.0198786106017401,0.655994149857424,78.0,,,,49.0,,57.0,,,,62.0,163.90577061488122,17.85099232036263,21.064701034310616,131.0530534937387,47.60264618763368,4.638342473739361,16.817304569072142,91.560880431615,103.96513344710084,168.9549377077232,46.15150761370664,19.984629858282734,100.62552686600849,20.958681777768,35.52970334884351,17.632327603743487,10.7013187072701,10.197727238692682,19.124,8.22974478912041,0.2054123095513145,0.7023775745948176,4.704604509078495,1.577036441071383,26.51144033918741,2.570966971158389,3.3594851916940804,2.007739670775752,7.315329279374126,494.4936911253534,534.7014941691397,34.54317562341642,34.449632172815626,61.5,1105.503322370099,0.6617193391776265,44.73018589082153,48.36724443512191,3.124655975647271,3.11619435923166
Africa,Central Africa,Cameroon,CMR,2001,15493256,Cameroon,53.1423,2664.7683,0.8233608,25.694448,3980906.0,2.0826814,0.42136794,4.873089,0.0,3.472478606175487,0.1936326360320903,0.6518965413080375,79.0,,,,51.0,,61.0,,,,63.0,164.46510662445647,17.89165556936515,21.105957327497848,137.17581378633386,46.91073328937442,4.776271688791562,16.917037968003626,90.84597840505572,104.50353366651916,187.1459427250153,46.60737549292415,19.82798192968605,99.5594470264998,20.828417215851854,35.03459827940621,17.930382096571567,9.604178747191682,9.126551578312524,19.4279,8.384293140189511,0.2129958996352994,0.703531910916595,4.640728843569098,1.5877876154631407,26.66321398161884,2.5559507956235925,3.2788459701433967,1.9879617299294607,9.191096783515615,500.0885546588787,550.1684087579782,34.95723740977365,34.485972477315286,63.5,1128.8912700874614,0.8141702418164266,44.29908955006217,48.73528774080728,3.0965991443148746,3.0548533229992527
Africa,Central Africa,Cameroon,CMR,2002,15914029,Cameroon,53.4148,2678.5527,0.95179194,,,,,6.478559,0.0,3.5628940980313657,0.0,0.6723627310217922,79.0,,,,53.0,,66.0,,,,66.0,179.65909198732766,18.25433395904959,23.369317725888276,150.5212790551029,46.43701478739293,4.769376755565797,17.267783035961543,91.32193990597855,106.10135246077532,202.0732776093345,47.66863250029267,19.976085251572684,105.17135541225922,20.81810960631025,34.99428083233982,18.367441708193443,9.80267159246725,9.325105540526538,19.2288,8.533351296519568,0.2136479706050554,0.7100653140697432,4.675120297945919,1.6337785987445417,27.912478983166363,2.72715350713512,3.625731736444617,2.117628414526579,10.713815829053157,531.6001372122672,574.2983125140718,34.99476347788483,36.38299264127268,66.0,1187.9900216745498,0.9018439240719659,44.74786214642965,48.34201483481828,2.9457119032496095,3.0625671914304857
Africa,Central Africa,Cameroon,CMR,2003,16354324,Cameroon,53.8826,2767.8074,0.93935865,,,,,6.126819,0.0,3.552577287816971,0.1222918171365566,0.6542612216805782,82.0,,,,61.0,,72.0,,,,73.0,178.50936547423177,18.319314207056188,23.3088203462277,161.0950107139861,44.06174171430137,4.353588690061418,17.701740530516577,92.12854043982496,106.57120404365232,211.95617746108,48.354184495794506,19.84184733040632,103.95415915693,20.65508791436442,34.54743834107726,18.722877203606828,9.239146784666858,8.780552470404768,19.4853,8.670489834981868,0.220125270845802,0.7092925393920286,4.659318232902809,1.6570541222003428,28.23106598597411,2.733222113002041,3.619837787242077,2.121763027319258,10.455949326634105,539.4781221162061,582.6226752019834,35.401580000322845,36.705888913537486,72.0,1204.6642155586842,0.8679555009264532,44.78244768530903,48.363906529072246,2.938709355113096,3.0469809295791594
Africa,Central Africa,Cameroon,CMR,2004,16809406,Cameroon,54.1779,2764.6033,0.7606451,,,,,,0.0118981003849868,3.521837713956103,0.0,0.6365483705967956,83.0,,,,64.0,,72.0,,,59.0,73.0,172.53435368269407,18.35281984384219,22.332734422620288,169.42894948221252,41.70879089957135,3.890678825890695,17.972080631522616,92.89441875578471,106.66052090121448,212.0003526596954,48.954734034028334,19.72705043830817,101.59787918740258,20.417140260637407,33.99287279990739,19.060756816748903,8.643969929692936,8.203740215448422,19.3703,8.751052833157816,0.2260639073147498,0.71388602309921,4.693800601877307,1.695479304860624,28.22229411318877,2.706817837584505,3.521837713956103,2.1000147179501765,4.170284184937885,539.1148265441384,579.259017243084,35.45058267030971,36.55096438267955,70.2,1194.5456750251496,0.3491104837703326,45.131369843416664,48.49199401528857,2.967704241996719,3.0598214155277086
Africa,Central Africa,Cameroon,CMR,2005,17275174,Cameroon,54.3619,2795.1963,0.708705,,,,,,0.2778553778966278,3.5542333755943645,0.0115773074123594,0.6309632539735924,90.0,79.0,,,68.0,,79.0,,,68.0,80.0,167.89411209403738,18.47738263012575,22.08371388907573,167.32103537712558,40.3006071024234,3.560022029300544,18.07796552439935,93.24942255284954,107.30427375145396,206.8401742292147,49.701380721259305,19.716154523248218,99.92952892978096,20.31238585498473,33.66102130143523,19.45566510647013,8.173579033125803,7.745218658868501,20.5578,8.868217477867372,0.2315461482471898,0.7177930595662886,4.746696039067393,1.7365961118539242,28.33545989174986,2.697512627079762,3.4616149162954883,2.083915334224709,4.474629314876944,530.9642611993373,572.8393821098415,36.85864883660217,36.57850276934982,77.33333333333333,1181.7154242300078,0.3786554040954963,44.93165192840802,48.475239500499626,3.1190799477478977,3.095373219248953
Africa,Central Africa,Cameroon,CMR,2006,17751338,Cameroon,54.8564,2822.2488,0.6995302,,,,,,0.1746347233093077,3.64479567681039,0.0,0.630938355182015,96.0,81.0,,,73.0,,78.0,,,72.0,81.0,162.79899577147367,18.62394823421198,21.970174867945165,156.709313968333,39.647715569384125,3.318059742876847,18.071877173427715,92.75920496809874,108.16086088834544,205.78167121824845,50.43563476736232,19.677389952239093,99.06858851991888,20.066093046056587,33.27073147950876,19.71682359943797,7.768428498178561,7.351558513504728,20.9197,8.928904401459766,0.2366018831932556,0.7210724059223028,4.85033860546174,1.791414258463221,28.3527923359918,2.687121387694832,3.3969270372745988,2.061816410684085,4.450368755301713,513.8992902957513,571.2977804828008,37.44803155450029,36.49865717164532,80.16666666666667,1163.5941282599993,0.38246744695735524,44.16482326738959,49.097685061121865,3.2183070234720805,3.136717201059121
Africa,Central Africa,Cameroon,CMR,2007,18251868,Cameroon,55.1653,2889.4202,0.6078852,31.42313,5735308.0,2.157092,0.42820063,,0.3616068229290284,3.2654191888742568,0.0438311300520034,0.6245936032410491,89.0,82.0,,,74.0,,81.0,,,74.0,82.0,149.50798460738375,18.491257990688958,21.35671811783868,149.34909676094523,39.30556587413409,3.05722132112724,17.987199995090915,91.6947240687912,107.0246618044794,200.4507155103248,50.41127845106046,19.28021833162501,96.42300722315107,19.559641785706532,32.40216289094354,19.636346263297543,7.171868654759064,6.777388484291033,20.3976,8.990860551917207,0.2410712152860189,0.7232136458580568,4.788550958181377,1.769681875849639,28.08479658082121,2.6298678031202067,3.254461406361256,2.010753091135658,4.295450745096337,490.7497687360001,559.1372893996385,36.9109782470923,35.979878881438324,80.33333333333333,1127.0733660092656,0.38111545127764335,43.54195419182372,49.60966218014967,3.274940155651665,3.1923280210973006
Africa,Central Africa,Cameroon,CMR,2008,18777082,Cameroon,55.6548,2970.7505,0.57561034,,,,,4.1326976,0.2130256447727075,3.355153905170144,0.0479307700738591,0.6231000109601694,91.0,84.0,,,80.0,,82.0,,,77.0,84.0,139.63298450739046,18.60246442977668,21.057584985782132,136.7890921496748,39.42039556518952,2.8385667165963278,17.489405435839284,89.87551952960528,107.47143778783092,189.91236231486877,50.86519833060324,19.16698238842436,95.71242219637747,19.11372597723118,31.74614671225273,19.768779834907257,6.784866786010734,6.412071907658495,20.1161,8.968379644930986,0.2449794914886136,0.7242871922272054,4.888938547533637,1.821369262806649,27.757241513883788,2.609564148465666,3.168756465994024,1.975812855266862,8.37190793097688,465.70601331985455,546.9539942361652,36.76405413898709,35.51137498361034,83.0,1093.3073446095939,0.765741488178366,42.59607471000318,50.027469122278276,3.362645858024037,3.2480688215161493
Africa,Central Africa,Cameroon,CMR,2009,19319276,Cameroon,56.1019,2895.9507,0.47905558,,,,,6.609979,0.0155285322286404,3.478391219215461,0.0,0.6314936439647117,81.0,80.0,80.0,,74.0,,79.0,,,72.0,80.0,132.45837991030305,18.79987635147404,19.980044800850717,125.48606893964347,39.46317657038493,2.6916122529643447,17.19008517710498,87.9070209463336,107.8974181020034,181.12479991486225,51.60131259577222,19.069037576770477,96.05432418896028,18.81022870629313,31.315873327758244,19.9231068493457,6.599626197172193,6.232117601094369,19.9693,9.032429579659196,0.253632693067794,0.7246648373365544,4.963954135755397,1.8530715126177608,27.84783446336188,2.6398504788688766,3.1937014616903863,1.987652125265978,10.735392395408814,443.9762649490591,538.6278450600322,36.797052758436706,35.66903852918713,78.0,1065.805593692124,1.0072561505536548,41.65640221600387,50.537156893138246,3.452510755827968,3.346673984476266
