Year,Entity,Share below $2.15 a day,Number below $2.15 a day,palma_ratio,gini
2019,Indonesia,4.380574,11809279,1.6423688,0.37610123
2005,"Iran, Islamic Republic of",1.0210205,716579,2.2393243,0.43558642
2006,"Iran, Islamic Republic of",0.8490968,605200,2.3959715,0.44752038
2009,"Iran, Islamic Republic of",1.4918264,1108765,2.0638947,0.42050025
2013,"Iran, Islamic Republic of",0.30533245,239561,1.6149426,0.3735951
2014,"Iran, Islamic Republic of",0.8125961,649765,1.7338172,0.38783294
2015,"Iran, Islamic Republic of",0.7442688,608744,1.8021128,0.39471003
2016,"Iran, Islamic Republic of",0.69328684,577551,1.8505142,0.39965197
2017,"Iran, Islamic Republic of",0.55679095,470517,1.932341,0.4080294
2018,"Iran, Islamic Republic of",0.86956036,744496,2.0504742,0.420033
2019,"Iran, Islamic Republic of",0.92208225,798193,1.9515338,0.4093597
2006,Iraq,0.03518214,10170,1.0423042,0.28600612
2012,Iraq,0.08875247,30056,1.0812231,0.29541856
2000,Ireland,0.1782722,6784,1.2918061,0.33005205
2002,Ireland,0.23505183,9242,1.2256609,0.32290256
2003,Ireland,0.12763272,5101,1.2818769,0.32887623
2004,Ireland,0.052105937,2121,1.3353199,0.33609638
2005,Ireland,0.021705687,903,1.3407788,0.33754012
2006,Ireland,0.3984308,17027,1.2630651,0.32727954
2007,Ireland,0.098496266,4333,1.2180368,0.31946772
2008,Ireland,0.1805067,8104,1.1596993,0.30906218
2009,Ireland,0.49060217,22251,1.2591702,0.32682547
2010,Ireland,0.54275715,24751,1.2266691,0.32297096
2011,Ireland,0.5449447,24959,1.2690552,0.32874694
2012,Ireland,0.33501238,15409,1.2961634,0.33220753
2013,Ireland,0.6822285,31545,1.3169633,0.33489192
2014,Ireland,0.38895378,18116,1.2042052,0.31876454
2015,Ireland,0.36762756,17286,1.2179909,0.3182154
2016,Ireland,0.13472612,6407,1.2659732,0.32807598
2017,Ireland,0.24319613,11691,1.1891575,0.31359804
2018,Ireland,0.003921386,191,1.1500019,0.30602926
2019,Ireland,0.058011558,2862,1.1593604,0.308315
2001,Israel,0.24897778,16032,1.7586645,0.38947663
2002,Israel,0.48042536,31564,1.8151609,0.39559424
2003,Israel,0.46270582,30954,1.9383206,0.4072257
2004,Israel,0.49913883,33986,2.0105464,0.414563
2005,Israel,0.4833153,33494,2.0974658,0.42267624
2006,Israel,0.22496581,15868,2.025607,0.4155532
2007,Israel,0.4918124,35313,1.9760976,0.41098633
2008,Israel,0.4835079,35339,2.0419397,0.4164268
2009,Israel,0.49162772,36801,2.165065,0.4263395
2010,Israel,0.22767836,17357,2.163031,0.42527026
2011,Israel,0.23077059,17921,2.0140057,0.41444165
2012,Israel,0.7390074,58459,2.0377805,0.41609597
2013,Israel,0.45378035,36572,1.8755684,0.40224823
2014,Israel,0.49243245,40457,1.8314447,0.3975749
2015,Israel,0.49385363,41385,1.8291183,0.3971953
2016,Israel,0.24139464,20630,1.7587051,0.39013016
2017,Israel,0.45742482,39857,1.6730853,0.38202065
2018,Israel,0.49676624,44127,1.7175397,0.38577175
2000,Italy,1.2495171,711501,1.4335462,0.3525281
2003,Italy,0.7694033,440970,1.4184457,0.34931308
2004,Italy,0.6045206,348720,1.3736092,0.34295115
2005,Italy,0.6472902,375231,1.329685,0.33833605
2006,Italy,0.65343624,379934,1.3246394,0.33697397
2007,Italy,0.680243,397523,1.2656604,0.32890737
2008,Italy,0.70417947,414246,1.3330203,0.33770102
2009,Italy,0.91157925,538701,1.3266736,0.33835772
2010,Italy,1.2652895,750031,1.3900727,0.3472131
2011,Italy,1.156048,686455,1.4183418,0.35057214
2012,Italy,1.2006085,714839,1.4234561,0.3515561
2013,Italy,1.3731673,827113,1.3992088,0.3491185
2014,Italy,1.2321203,748995,1.377291,0.3465733
2015,Italy,1.9488665,1183558,1.4343692,0.35397437
2016,Italy,1.6299454,988195,1.4268116,0.3524625
2017,Italy,1.4216343,860611,1.4848689,0.35928002
2018,Italy,1.4576468,880736,1.4202127,0.35222572
2019,Italy,0.9943459,593914,1.379727,0.34587252
2002,Jamaica,2.1286912,56160,2.8780122,0.48315963
2004,Jamaica,1.177246,31362,2.4654918,0.45457473
2008,Japan,0.4798256,614479,1.4085579,0.34842315
2010,Japan,0.0,0,1.2311355,0.3210032
2013,Japan,0.72788787,927657,1.2831644,0.3285473
2002,Jordan,0.1951805,10297,1.5946714,0.36954618
2006,Jordan,0.09088745,5522,1.3609201,0.33856255
2008,Jordan,0.010805056,717,1.2777792,0.3257345
2010,Jordan,0.040854882,2832,1.3520349,0.3365573
2001,Kazakhstan,12.814419,1904009,1.4921288,0.35964757
2002,Kazakhstan,8.887372,1320570,1.4090792,0.3481114
2003,Kazakhstan,6.167813,919560,1.3250567,0.33691478
2004,Kazakhstan,3.3167064,497937,1.2143128,0.3183876
2005,Kazakhstan,8.661422,1311948,1.8287196,0.39826038
2006,Kazakhstan,1.0114723,154837,1.1316713,0.30243865
2007,Kazakhstan,0.38554862,59699,1.1199969,0.30084056
2008,Kazakhstan,0.2428652,38317,1.0357001,0.28496444
2009,Kazakhstan,0.2441653,39293,1.0131108,0.28208867
2010,Kazakhstan,0.19512291,31848,1.0033234,0.27954513
2011,Kazakhstan,0.07109477,11771,1.0022885,0.27983844
2012,Kazakhstan,0.03842411,6452,1.0092877,0.2816882
2013,Kazakhstan,0.033109628,5640,0.9609775,0.2706543
2014,Kazakhstan,0.01927526,3332,0.96180224,0.2701586
2015,Kazakhstan,0.038270585,6714,0.9527808,0.26803666
2016,Kazakhstan,0.05052872,8991,0.9702832,0.27225325
2017,Kazakhstan,0.041498996,7485,0.98371774,0.27450275
2018,Kazakhstan,0.0151407905,2767,1.0041503,0.27792874
2005,Kenya,36.67384,13145007,2.6151986,0.46452925
2015,Kenya,29.365105,13757988,1.9240285,0.40775773
2002,Latvia,0.71719414,16568,1.4411687,0.35091233
2003,Latvia,0.6044631,13830,1.5374118,0.36528602
2004,Latvia,0.28444555,6437,1.4256159,0.3495713
2005,Latvia,2.3620217,52881,1.7466671,0.38981482
2006,Latvia,1.5533317,34458,1.4443365,0.35602766
2007,Latvia,0.021305429,469,1.5041379,0.3604693
2008,Latvia,0.027127188,591,1.4932015,0.35817897
2009,Latvia,0.35493138,7601,1.4160726,0.3483174
2010,Latvia,1.7326765,36344,1.4226792,0.3503441
2011,Latvia,1.0286086,21186,1.474813,0.35774368
2012,Latvia,1.0676994,21720,1.4213713,0.35237688
2013,Latvia,1.1653787,23455,1.4348137,0.3550057
2014,Latvia,0.79135585,15778,1.4116999,0.35115233
2015,Latvia,0.650311,12860,1.3533263,0.34204435
2016,Latvia,0.64695126,12677,1.3542328,0.3432963
2017,Latvia,0.7972179,15484,1.4618089,0.35571936
2018,Latvia,0.36000243,6938,1.4274698,0.3509615
2019,Latvia,0.2391008,4576,1.3807974,0.3448954
2011,Lebanon,0.0,0,1.2067288,0.3183245
2002,Lesotho,66.33909,1325146,3.6475058,0.5157492
2017,Lesotho,32.39991,703278,2.439084,0.44879702
2007,Liberia,53.34778,1937986,1.5491732,0.36477745
2014,Liberia,25.930763,1171914,1.3088887,0.33237883
2016,Liberia,27.617746,1299718,1.4409803,0.3526546
2000,Lithuania,0.24524175,8582,1.2016785,0.31674933
2001,Lithuania,0.5785247,20080,1.2179973,0.32012275
2002,Lithuania,0.5038035,17346,1.2155293,0.31915566
2003,Lithuania,0.19467595,6649,1.4739168,0.35456488
2004,Lithuania,0.092465654,3123,1.4424381,0.35204017
2005,Lithuania,1.7817268,59198,1.437486,0.35302207
2006,Lithuania,1.5230172,49801,1.3776925,0.34418988
2007,Lithuania,1.3395644,43285,1.3958771,0.3479719
2008,Lithuania,0.14939542,4778,1.6021085,0.37055656
2009,Lithuania,2.2432506,70952,1.5821426,0.37225989
2010,Lithuania,1.5343399,47523,1.3087441,0.33619305
2011,Lithuania,0.70057505,21214,1.2330797,0.32491052
2012,Lithuania,0.94779253,28318,1.4284999,0.3509868
2013,Lithuania,0.70500815,20852,1.4446062,0.35311148
2014,Lithuania,1.262026,37007,1.6396506,0.37681442
2015,Lithuania,0.7198586,20911,1.6106015,0.37375224
2016,Lithuania,1.2705059,36441,1.7036469,0.38391206
2017,Lithuania,1.0225072,28921,1.5923908,0.372897
2018,Lithuania,0.9250136,25915,1.4641078,0.35707808
2019,Lithuania,0.54792964,15310,1.442041,0.35253152
2000,Luxembourg,0.0,0,1.1035215,0.30102962
2001,Luxembourg,0.0,0,1.1574136,0.30926323
2002,Luxembourg,0.0,0,1.1727958,0.3098299
2003,Luxembourg,0.07174669,324,1.1063361,0.30187473
2004,Luxembourg,0.018192332,83,1.1055471,0.30172697
2005,Luxembourg,0.03469405,161,1.1494019,0.30840808
2006,Luxembourg,0.0,0,1.1541818,0.3094812
2007,Luxembourg,0.021916224,105,1.1861296,0.3113375
2008,Luxembourg,0.0,0,1.2624267,0.32561544
2009,Luxembourg,0.04411102,220,1.168899,0.3119692
2010,Luxembourg,0.0,0,1.1267885,0.3050438
2011,Luxembourg,0.11757935,609,1.2145046,0.3205412
2012,Luxembourg,0.043618947,232,1.3767263,0.3434715
2013,Luxembourg,0.08910331,484,1.2043499,0.32036045
2014,Luxembourg,0.13992491,778,1.1675203,0.3115832
2015,Luxembourg,0.30012453,1710,1.2671304,0.32922232
2016,Luxembourg,0.11721951,682,1.1851956,0.31727982
2017,Luxembourg,0.28312987,1688,1.3653941,0.34515738
2018,Luxembourg,0.28481787,1732,1.4383307,0.35368094
2019,Luxembourg,0.101187475,627,1.3572773,0.34241262
2004,Malawi,68.864586,8547019,1.8614006,0.3987346
2010,Malawi,68.42152,10070567,2.4826992,0.45475972
2016,Malawi,65.73572,11441713,2.3494751,0.44694307
2019,Malawi,70.0606,13218569,1.7304217,0.38543174
2003,Malaysia,1.5712516,388718,2.6282532,0.46416202
2006,Malaysia,0.77013826,204159,2.3961825,0.4475235
2008,Malaysia,0.69657385,192702,2.5041714,0.45479712
2011,Malaysia,0.13992567,40836,2.2894573,0.43943596
2013,Malaysia,0.03397699,10239,1.9939878,0.41348827
2015,Malaysia,0.019036654,5914,1.9642886,0.410664
2018,Malaysia,0.01102865,3573,1.976249,0.41176775
2000,Mauritania,21.487999,579102,1.7632414,0.39028475
2004,Mauritania,18.126389,534108,1.8940512,0.4016877
2008,Mauritania,11.842612,382911,1.4561895,0.35685378
2014,Mauritania,6.490837,249454,1.2527075,0.3261935
2000,Mexico,8.9235115,8733748,3.7068024,0.5258397
2002,Mexico,6.5888734,6649299,3.2044916,0.50088656
2004,Mexico,5.9505153,6185312,3.1623042,0.50030077
2005,Mexico,6.544524,6900704,3.2130353,0.5012036
2006,Mexico,4.1524005,4438368,2.9977763,0.48936054
2008,Mexico,5.3621807,5881480,3.1667614,0.49883848
2010,Mexico,4.51838,5084642,2.723829,0.4721391
2012,Mexico,3.8398933,4444903,2.9626145,0.48713467
2014,Mexico,3.7135117,4410014,2.9315104,0.4872244
2016,Mexico,3.2149105,3906734,2.7871747,0.47677714
2018,Mexico,2.6293807,3260796,2.638672,0.46706957
2000,"Moldova, Republic of",31.08438,909115,1.5427369,0.36425692
2001,"Moldova, Republic of",23.255726,678633,1.6739227,0.37989193
2002,"Moldova, Republic of",13.558621,394744,1.4935051,0.3584591
2003,"Moldova, Republic of",5.6087055,162832,1.4302155,0.34902084
2004,"Moldova, Republic of",6.550409,189701,1.4429766,0.35029566
2005,"Moldova, Republic of",10.87486,314173,1.5299472,0.36280838
2006,"Moldova, Republic of",1.9625398,56540,1.4612025,0.35400927
2007,"Moldova, Republic of",0.9524417,27376,1.3909478,0.34421042
2008,"Moldova, Republic of",0.9574248,27467,1.4044163,0.34692442
2009,"Moldova, Republic of",0.65801674,18854,1.2650094,0.32910907
2010,"Moldova, Republic of",0.41040125,11747,1.2328713,0.3205092
2011,"Moldova, Republic of",0.21669711,6199,1.1445577,0.30628577
2012,"Moldova, Republic of",0.13851036,3962,1.0637685,0.2915884
2013,"Moldova, Republic of",0.025188606,720,1.0333244,0.2853416
2014,"Moldova, Republic of",0.0,0,0.94212985,0.26833853
2015,"Moldova, Republic of",0.031209245,885,0.96238977,0.27028158
2016,"Moldova, Republic of",0.10805441,3029,0.9415719,0.26345387
2017,"Moldova, Republic of",0.0,0,0.9011169,0.25899243
2018,"Moldova, Republic of",0.0,0,0.9020469,0.25661647
2019,"Moldova, Republic of",0.02864514,763,0.91373783,0.26016647
2002,Mongolia,11.612102,289677,1.2548705,0.32892948
2007,Mongolia,1.6951885,44171,1.4889668,0.3582187
2010,Mongolia,1.1435707,30905,1.2909384,0.33081213
2011,Mongolia,0.85668147,23507,1.3489404,0.33883506
2012,Mongolia,0.47310936,13211,1.3357933,0.33751616
2014,Mongolia,0.32755226,9508,1.2325264,0.3203779
2016,Mongolia,0.7064973,21404,1.2528157,0.32345733
2018,Mongolia,0.7115856,22515,1.2709432,0.3274099
2005,Montenegro,0.22841841,1403,1.1160648,0.30217275
2006,Montenegro,0.0,0,1.0890263,0.3003536
2007,Montenegro,0.3606451,2221,1.1893171,0.3144807
2008,Montenegro,0.093895994,579,1.1434312,0.30487993
2009,Montenegro,0.0,0,1.1711617,0.31008518
2010,Montenegro,0.0,0,1.0388561,0.28893095
2011,Montenegro,0.21124175,1310,1.1585867,0.30819854
2012,Montenegro,1.2642962,7846,1.2189955,0.32273737
2013,Montenegro,1.0383036,6450,1.235876,0.32442936
2014,Montenegro,0.0,0,1.2397963,0.31926522
2015,Montenegro,1.3457713,8373,1.7477814,0.39005032
2016,Montenegro,2.4743311,15398,1.6937774,0.38487947
2017,Montenegro,3.3115063,20610,1.5437901,0.36906824
2018,Montenegro,2.839833,17670,1.5419633,0.36811927
2000,Morocco,7.9340315,2265516,1.9201741,0.40637007
2006,Morocco,4.242266,1308019,1.9429374,0.40718302
2013,Morocco,1.4431101,487822,1.8271799,0.39548507
2002,Mozambique,80.58823,15065926,2.6760654,0.4703907
2008,Mozambique,70.795815,15465750,2.503076,0.45578337
2014,Mozambique,64.64086,16831643,3.8336759,0.5399668
2019,Mozambique,74.38077,22526658,3.229746,0.5045398
2015,Myanmar,6.2170024,3200758,1.6976382,0.3806851
2017,Myanmar,1.9911567,1041143,1.170339,0.3069687
2003,Namibia,35.861526,686901,6.5461874,0.6331876
2009,Namibia,26.944029,557181,5.7581544,0.60965174
2015,Namibia,15.617013,356490,5.512386,0.5906661
2003,Nepal,40.30675,10351946,2.2799573,0.43768105
2010,Nepal,8.2404995,2238249,1.292102,0.32840586
2004,Netherlands,0.23587565,38405,1.0885549,0.29800025
2005,Netherlands,0.14832005,24206,1.0494987,0.2904823
2006,Netherlands,0.045792855,7485,1.1203357,0.30043328
2007,Netherlands,0.02863133,4690,1.0861683,0.2959278
2008,Netherlands,0.13360895,21973,1.0674043,0.29298013
2009,Netherlands,0.1107701,18311,0.9851915,0.27881998
2010,Netherlands,0.047438905,7882,0.98620063,0.2784525
2011,Netherlands,0.09605309,16034,0.9849509,0.27750087
2012,Netherlands,0.07584219,12707,0.97678673,0.2762093
2013,Netherlands,0.08687879,14599,1.0009592,0.2810648
2014,Netherlands,0.05771296,9733,1.0320563,0.2863142
2015,Netherlands,0.06166262,10446,1.0112828,0.2824158
2016,Netherlands,0.045917112,7820,1.0085206,0.2817357
2017,Netherlands,0.18876624,32338,1.0306621,0.2853582
2018,Netherlands,0.10091632,17390,1.0093964,0.2812108
2019,Netherlands,0.0957287,16604,1.0725368,0.29248333
2001,Nicaragua,18.791191,975782,2.1720395,0.42998204
2005,Nicaragua,17.257347,941333,1.9119081,0.40531987
2009,Nicaragua,8.276645,477615,2.2906232,0.43942162
2014,Nicaragua,3.9410286,244686,2.601133,0.46156293
2005,Niger,80.50121,11153621,2.3389952,0.44425443
2007,Niger,78.89103,11753086,1.6439936,0.37304455
2011,Niger,60.55905,10466489,1.2237833,0.31451714
2014,Niger,53.56471,10376563,1.3798501,0.34276575
2018,Niger,50.905937,11493063,1.6374785,0.37259424
2003,Nigeria,47.878925,63736328,1.8602918,0.40063578
2010,Nigeria,34.88533,56148932,1.456468,0.3565021
2012,Nigeria,33.82892,57534851,1.4461554,0.35513008
2015,Nigeria,32.25663,59350840,1.4744202,0.3587978
2018,Nigeria,30.863297,61228961,1.4303354,0.35127744
2000,North Macedonia,5.2176623,105728,1.3749988,0.34263873
2002,North Macedonia,1.4565549,29425,1.7147303,0.38509068
2003,North Macedonia,1.2436886,25207,1.73379,0.38722393
2004,North Macedonia,0.76593405,15568,1.7101076,0.3843255
2005,North Macedonia,1.49612,30474,1.7677377,0.3930525
2006,North Macedonia,2.841009,57963,2.1134007,0.42642504
2008,North Macedonia,0.63659596,13030,2.5591767,0.46141624
2009,North Macedonia,9.767671,200303,2.1587372,0.42764455
2010,North Macedonia,10.448227,214711,1.8574984,0.40160623
2011,North Macedonia,9.087074,187061,1.7631108,0.39374107
2012,North Macedonia,6.9127917,142476,1.6519488,0.38136518
2013,North Macedonia,5.2256985,107860,1.4757962,0.36242935
2014,North Macedonia,4.5167346,93382,1.4054705,0.35205436
2015,North Macedonia,5.5025377,113915,1.432997,0.3559466
2016,North Macedonia,4.2366357,87804,1.3572776,0.3453469
2017,North Macedonia,4.4940066,93228,1.3251466,0.34200203
2018,North Macedonia,3.3985562,70561,1.2403722,0.329607
2019,North Macedonia,2.6633506,55310,1.2631437,0.33505884
2000,Norway,0.23508184,10557,0.98201215,0.27358785
2003,Norway,0.20452435,9336,0.9942326,0.27627292
2004,Norway,0.2648449,12161,1.2304348,0.31579077
2005,Norway,0.20196272,9337,1.172511,0.3059756
2006,Norway,0.13099638,6105,0.8993048,0.26354173
2007,Norway,0.12668282,5966,0.9473542,0.27090815
2008,Norway,0.2267255,10811,0.9352371,0.26996532
2009,Norway,0.086947724,4198,0.89639395,0.2615837
2010,Norway,0.15098813,7382,0.8772533,0.25723967
2011,Norway,0.09757115,4833,0.85573184,0.25300366
2012,Norway,0.117306806,5887,0.87565595,0.25726262
2013,Norway,0.13043559,6626,0.9046732,0.26361203
2014,Norway,0.11292123,5801,0.92611784,0.26752627
2015,Norway,0.17004924,8823,0.96637183,0.27496895
2016,Norway,0.28067333,14692,1.020122,0.28493744
2017,Norway,0.29165247,15390,0.93276834,0.2698733
2018,Norway,0.25446132,13517,0.9659413,0.27560863
2019,Norway,0.15653396,8371,0.97510195,0.27742285
2001,Pakistan,33.275234,52980072,1.0705949,0.2865302
2004,Pakistan,20.203358,34476752,1.1899657,0.30886108
2005,Pakistan,20.296938,35392198,1.2271943,0.31261253
2007,Pakistan,14.898684,27104358,1.1281105,0.29669502
2010,Pakistan,9.381865,18243457,1.0828683,0.28780863
2011,Pakistan,9.587885,19041802,1.1343447,0.29697958
2013,Pakistan,7.362643,15118271,1.1145222,0.29528573
2015,Pakistan,5.110188,10780928,1.2269478,0.31291267
2018,Pakistan,4.932448,10838141,1.1222515,0.29589266
2000,Panama,11.071512,332337,4.99032,0.56639016
2001,Panama,14.062808,430466,5.196694,0.5674528
2002,Panama,9.564354,298503,4.8395376,0.5610198
2003,Panama,9.920747,315639,4.6846867,0.55662787
2004,Panama,8.794022,285217,4.4521046,0.54780126
2005,Panama,8.564978,283147,4.171767,0.5381147
2006,Panama,9.389637,316297,4.392247,0.546454
2007,Panama,6.665941,228749,3.8940833,0.5268926
2008,Panama,4.0731487,142368,3.8200216,0.52693385
2009,Panama,2.5282087,89988,3.6016867,0.5177117
2010,Panama,3.3920667,122916,3.5716677,0.5160976
2011,Panama,2.452237,90455,3.5252905,0.51348317
2012,Panama,3.4651458,130111,3.6175816,0.51739955
2013,Panama,2.2445593,85777,3.5806744,0.51457196
2014,Panama,2.8937745,112533,3.3668292,0.5046687
2015,Panama,1.5139548,59909,3.4193878,0.50806665
2016,Panama,1.5169268,61077,3.3478696,0.5040773
2017,Panama,2.0971286,85900,3.2554667,0.49888504
2018,Panama,1.4056449,58549,3.1348226,0.49212474
2019,Panama,1.0040996,42499,3.247524,0.49838337
2001,Paraguay,8.94098,465963,4.2443466,0.546293
2002,Paraguay,13.235834,699714,4.854204,0.5727629
2003,Paraguay,8.302468,444452,4.2033625,0.5493835
2004,Paraguay,5.7077723,309151,3.5726426,0.5226281
2005,Paraguay,6.0722804,332571,3.4173722,0.5138179
2006,Paraguay,7.947744,439882,3.8009548,0.5299549
2007,Paraguay,7.842305,438396,3.7565591,0.5304121
2008,Paraguay,4.321988,243983,3.3121998,0.50704694
2009,Paraguay,5.767492,328895,3.0706732,0.4914576
2010,Paraguay,5.4597416,314951,3.400538,0.5098244
2011,Paraguay,5.048014,295003,3.6870952,0.5230993
2012,Paraguay,3.33131,197324,2.8519378,0.47633564
2013,Paraguay,1.7875661,107355,2.862857,0.4793603
2014,Paraguay,2.413888,147023,3.3055193,0.50702643
2015,Paraguay,1.8913445,116846,2.810144,0.47605908
2016,Paraguay,1.6942916,106175,2.8461032,0.47899717
2017,Paraguay,0.98143935,62374,2.9196813,0.4854749
2018,Paraguay,1.4066867,90637,2.5534065,0.459551
2019,Paraguay,1.0115106,66052,2.5024273,0.45650637
2000,Peru,19.268625,5135944,3.136941,0.49073362
2001,Peru,20.254484,5471730,3.536323,0.5130633
2002,Peru,17.54501,4795841,4.013947,0.53565925
2003,Peru,14.664634,4050862,3.8424613,0.5308133
2004,Peru,16.311806,4550001,3.251947,0.4988085
2005,Peru,17.811798,5013535,3.383515,0.50451356
2006,Peru,15.597147,4426638,3.3748772,0.50332856
2007,Peru,13.215263,3779616,3.3098269,0.5002204
2008,Peru,10.917175,3144822,2.856978,0.4748734
2009,Peru,8.811538,2556168,2.756325,0.4700658
2010,Peru,6.8237686,1994558,2.53442,0.45537925
2011,Peru,6.5040245,1917238,2.4308095,0.4466015
2012,Peru,6.078547,1808343,2.3956435,0.4444041
2013,Peru,5.3963337,1620994,2.3132322,0.43882897
2014,Peru,4.824813,1464521,2.2186604,0.43139225
2015,Peru,4.7185483,1449154,2.231951,0.433564
2016,Peru,4.596183,1430919,2.2711303,0.43639258
2017,Peru,4.4970593,1421317,2.2331474,0.4329279
2018,Peru,3.5750043,1151292,2.1135452,0.42387646
2019,Peru,2.9952693,983193,2.0246346,0.41562784
2000,Philippines,15.031992,11718674,2.1385207,0.42799473
2003,Philippines,13.634615,11308936,2.003246,0.4149466
2006,Philippines,15.298533,13447692,2.144999,0.4285884
2009,Philippines,11.126217,10341480,2.029286,0.41760337
2012,Philippines,12.485543,12239868,2.0786185,0.4222433
2015,Philippines,8.290904,8542232,1.8836691,0.40351498
2018,Philippines,5.057057,5490388,1.6584466,0.37811705
2000,Poland,0.13940534,53335,1.29283,0.32965538
2001,Poland,0.08741436,33434,1.2785438,0.32849026
2002,Poland,0.084758155,32403,1.362653,0.34050205
2003,Poland,0.07538549,28801,1.4182512,0.34911335
2004,Poland,0.10529657,40205,1.4503509,0.3542606
2005,Poland,0.18467623,70483,1.3952645,0.3449258
2006,Poland,0.039085574,14908,1.3384801,0.33709115
2007,Poland,0.031426504,11980,1.329577,0.3350894
2008,Poland,0.012630832,4816,1.3458939,0.33717042
2009,Poland,0.015364228,5862,1.3326566,0.3357809
2010,Poland,0.0074669006,2841,1.3065008,0.33218834
2011,Poland,0.028970925,11027,1.2802075,0.32776344
2012,Poland,0.021968883,8362,1.2535214,0.32391277
2013,Poland,0.00905477,3444,1.2616521,0.3254952
2014,Poland,0.010303651,3917,1.2310666,0.32080153
2015,Poland,0.0,0,1.213845,0.31823528
2016,Poland,0.0045403675,1724,1.1552117,0.3079635
2017,Poland,0.0018125186,688,1.1285698,0.30296582
2018,Poland,0.0064735403,2458,1.1816705,0.3114105
2019,Poland,0.0,0,1.1297374,0.30239472
2003,Portugal,0.8958964,93700,1.7364563,0.38775352
2004,Portugal,0.5366484,56261,1.7573274,0.38938835
2005,Portugal,0.5435212,57088,1.7036136,0.38480073
2006,Portugal,0.092665896,9751,1.6622231,0.3806078
2007,Portugal,0.25771353,27171,1.5648628,0.36750183
2008,Portugal,0.13725239,14491,1.561004,0.3663415
2009,Portugal,0.16589662,17532,1.4325364,0.34907416
2010,Portugal,0.13645983,14428,1.5025653,0.35844672
2011,Portugal,0.5080361,53636,1.5328106,0.36344677
2012,Portugal,0.7032106,73941,1.4958086,0.36034793
2013,Portugal,0.8551859,89429,1.5066247,0.36187103
2014,Portugal,0.5456738,56756,1.4663054,0.35562173
2015,Portugal,0.48239422,49967,1.4619262,0.355233
2016,Portugal,0.374637,38683,1.4412775,0.3519052
2017,Portugal,0.41049597,42282,1.3463697,0.3380384
2018,Portugal,0.2902539,29849,1.3287264,0.33492562
2019,Portugal,0.14872062,15298,1.2769436,0.32762748
2000,Romania,6.21738,1395365,1.0660015,0.29323864
2001,Romania,4.441618,983018,1.0690835,0.2942906
2002,Romania,4.587095,996798,1.1146601,0.30229938
2003,Romania,3.1756175,685118,1.0992104,0.2991129
2004,Romania,2.2387342,480248,1.101981,0.30039373
2005,Romania,1.7717738,377737,1.0912627,0.2981939
2006,Romania,1.932632,409597,1.1266466,0.30464298
2007,Romania,0.86101323,179805,1.1129247,0.3020729
2008,Romania,0.0,0,1.0750841,0.29583812
2009,Romania,0.0,0,0.9930547,0.28189346
2010,Romania,0.0,0,0.9856524,0.2815824
2011,Romania,0.0,0,0.94398856,0.2721152
2012,Romania,0.0,0,0.9453875,0.27334237
2013,Romania,0.0,0,0.95627946,0.274507
2014,Romania,7.0226746,1398143,1.4615183,0.3601154
2015,Romania,5.266119,1043514,1.4675047,0.3591389
2016,Romania,0.0,0,1.0037707,0.28345704
2017,Romania,3.2661333,639794,1.4687406,0.36016828
2018,Romania,0.0,0,1.028007,0.28782865
2019,Romania,2.1640766,419217,1.3811892,0.348042
2000,Russian Federation,2.9754066,4361853,1.5749067,0.3709283
2001,Russian Federation,1.7576264,2565721,1.5636424,0.36925116
2002,Russian Federation,1.0113968,1469625,1.5892135,0.3728383
2003,Russian Federation,1.0929874,1580991,1.840692,0.3997157
2004,Russian Federation,1.0032749,1445391,1.8778741,0.40315843
2005,Russian Federation,0.7747562,1111921,1.9704959,0.41265607
2006,Russian Federation,0.44096822,630803,1.9464257,0.4095095
2007,Russian Federation,0.20139945,287609,2.09018,0.42272472
2008,Russian Federation,0.09212515,131502,2.0104365,0.41568586
2009,Russian Federation,0.066181496,94497,1.8342195,0.398456
2010,Russian Federation,0.08332945,119036,1.8060035,0.39548978
2011,Russian Federation,0.038264908,54704,1.829594,0.39749315
2012,Russian Federation,0.0322114,46127,1.9308597,0.40714827
2013,Russian Federation,0.008163993,11716,1.9501383,0.40884423
2014,Russian Federation,0.021315757,30656,1.8572053,0.3988122
2015,Russian Federation,0.03634019,52365,1.6477901,0.37740842
2016,Russian Federation,0.027193299,39251,1.567601,0.368485
2017,Russian Federation,0.033431694,48308,1.6011659,0.37239072
2018,Russian Federation,0.029192207,42176,1.6366794,0.37473005
2019,Russian Federation,0.030001637,43324,1.6572229,0.37691438
2000,Rwanda,75.21361,6099815,2.9024847,0.48547274
2005,Rwanda,66.05174,5962028,3.4629924,0.52039415
2010,Rwanda,59.20516,6103478,2.701993,0.47222415
2013,Rwanda,53.74719,5966664,2.4296727,0.4511283
2016,Rwanda,52.005394,6204711,2.2505758,0.43710047
2002,Serbia,0.12799849,9595,1.2824149,0.32743752
2003,Serbia,0.38046145,28461,1.2846035,0.32828978
2004,Serbia,0.7966685,59457,1.4686756,0.3547365
2005,Serbia,0.7877403,58614,1.5557965,0.36460423
2006,Serbia,0.47052857,34874,1.0883938,0.2972948
2007,Serbia,0.36930904,27261,1.0354638,0.287067
2008,Serbia,0.11198602,8231,0.9772357,0.2756142
2009,Serbia,0.14450179,10579,0.993992,0.2797415
2010,Serbia,0.09777941,7130,1.0427681,0.29016605
