Entity,Code,Year,Population,Meningitis,Alzheimer's disease and other dementias,Parkinson's disease,Nutritional deficiencies,Malaria,Drowning,Interpersonal violence,Maternal disorders,HIV/AIDS,Drug use disorders,Tuberculosis,Cardiovascular diseases,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Self,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism,Diabetes mellitus,Chronic kidney disease,Poisonings,Protein,Road injuries,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,"Fire, heat, and hot substances",Acute hepatitis
Albania,ALB,2000,3182027,1.5084724296808292,13.764810920837569,3.6769015473470215,0.6913831969370468,0.0,2.859812314603239,9.710791266070338,0.2514120716134715,0.0628530179033678,0.6599566879853628,0.6599566879853628,240.12995489981705,27.498195332723448,22.344247864647283,0.4399711253235752,4.7454028517042754,0.0,0.4713976342752591,0.1885590537101036,96.57366200852476,0.0314265089516839,4.431137762187436,7.668068184210882,0.7542362148404146,0.6599566879853628,8.139465818486142,23.664161240618007,8.328024872196245,14.17335553720946,0.6599566879853628,0.0314265089516839
Albania,ALB,2001,3153615,1.3318049286295253,14.301048162188474,3.741737656625809,0.5073542585255334,0.0,2.5367712926276678,7.927410289461459,0.190257846947075,0.0634192823156916,0.8244506701039918,0.6024831819990709,241.69088490510097,23.52855373912161,21.02349208765179,0.4756446173676875,4.693026891361184,0.0,0.4122253350519959,0.190257846947075,96.52414768448271,0.1585482057892292,4.439349762098417,7.515184954409463,0.7293217466304542,0.4756446173676875,8.14937777756638,22.38700665743916,8.085958495250688,13.603436056715864,0.6024831819990709,0.0317096411578458
Albania,ALB,2002,3123554,1.2485777418927286,15.0789773443968,4.097896178519725,0.4161925806309096,0.0,2.4331258559960864,6.531022034515812,0.192088883368112,0.0640296277893707,0.9604444168405604,0.5762666501043362,263.4819183532604,21.48194012333387,19.75314017302086,0.4802222084202802,4.930281339781543,0.2241036972627974,0.3521629528415388,0.192088883368112,102.12725632404629,0.0320148138946853,4.834236898097488,7.779599776408539,0.7043259056830776,0.3521629528415388,8.579970123775674,22.76253267912129,8.227807170934135,13.670325533030644,0.6082814639990216,0.0320148138946853
Albania,ALB,2003,3092993,1.1639211598603685,15.809929088103337,4.558691209453109,0.3233114332945467,0.0,2.2631800330618272,5.302307506030567,0.193986859976728,0.0646622866589093,1.0022654432130949,0.5819605799301841,292.43519141491754,20.17463343757972,18.39642055445971,0.5172982932712747,5.334638649360022,0.0,0.3233114332945467,0.193986859976728,109.53791360019244,0.0,5.269976362701112,8.276772692340396,0.6466228665890935,0.290980289965092,9.279038135553492,23.731059203819733,8.600084125634943,14.161040778301148,0.6142917232596388,0.0323311433294546
Albania,ALB,2004,3062629,1.0775056332321022,16.358494613614642,4.799797820761182,0.2612134868441459,0.0,2.089707894753168,4.179415789506336,0.1632584292775912,0.0653033717110364,0.9795505756655476,0.5550786595438102,304.8034874612629,18.28494407909022,16.848269901447416,0.5224269736882919,5.550786595438103,0.0326516858555182,0.3265168585551825,0.2612134868441459,113.0727881176597,0.2938651726996643,5.3222247944494745,8.358831579012671,0.5877303453993286,0.2285618009886277,9.468988898100292,23.378607072551063,8.75065180927889,14.301438404716995,0.5877303453993286,0.0326516858555182
Albania,ALB,2005,3032636,0.9892384051366534,16.948951341341328,4.913217412178712,0.2308222945318857,0.0,1.747654515741421,3.03366444241907,0.1978476810273306,0.0659492270091102,0.7584161106047677,0.4946192025683267,310.4230115318818,16.52028136578211,15.498068347140904,0.5275938160728818,5.572709682269815,0.1648730675227755,0.296771521540996,0.1648730675227755,114.35595963379714,0.3297461350455511,5.144039706710598,8.309602603147889,0.4616445890637715,0.1978476810273306,9.10099332725721,22.29083872907926,8.804221805716216,14.278007647472364,0.5605684295774369,0.0329746135045551
Albania,ALB,2006,3003391,0.9322795466857297,17.54683289654927,4.861171922004162,0.1997741885755134,0.0,1.498306414316351,2.5637687533857565,0.1664784904795945,0.0665913961918378,0.6992096600142972,0.4328440752469459,305.38814293576826,14.68340286030024,14.317150181245134,0.5327311695347027,5.393903091538864,0.0,0.2663655847673513,0.1331827923836756,113.03889503564471,0.5993225657265404,4.727989129620486,7.990967543020539,0.3995483771510269,0.1664784904795945,8.656881504938918,20.70992421566157,8.690177203034837,13.984193200285944,0.5327311695347027,0.0332956980959189
Albania,ALB,2007,2976089,0.806427495951902,18.24542209591178,4.905767267040737,0.2016068739879755,0.0,1.4784504092451536,2.553687070514356,0.1680057283233129,0.0672022913293251,0.7728263502872394,0.403213747975951,303.2167384779152,13.205250246212396,13.171649100547734,0.5376183306346013,5.3089810150166885,0.0,0.2688091653173006,0.1344045826586503,112.79904599627228,0.6048206219639265,4.368148936406135,7.761864648537057,0.403213747975951,0.1344045826586503,8.669095581482946,19.69027135949227,8.73629787281227,13.877273159505648,0.5376183306346013,0.0336011456646625
Albania,ALB,2008,2951690,0.7114568264282496,19.20933431356274,5.21735006047383,0.1693944824829165,0.0,1.4229136528564992,2.405401651257415,0.1693944824829165,0.0677577929931666,0.7792146194214162,0.3726678614624165,318.2244747924071,12.67070728972216,12.36579722125291,0.5759412404419163,5.52226012894308,0.0,0.2371522754760832,0.1355155859863332,117.59364973964068,0.2710311719726664,4.234862062072914,7.995419573193661,0.4065467579589998,0.1355155859863332,8.842391985608245,19.75139665750807,9.113423157580913,14.33077321805474,0.5420623439453329,0.0338788964965833
Albania,ALB,2009,2930553,0.5800952925949471,20.132718978295223,5.425597148388035,0.1706162625279256,0.0,1.3649301002234049,2.115641655346278,0.1364930100223405,0.0682465050111702,0.6483417976061173,0.3412325250558512,324.6145010856313,12.182001144493888,11.431289589371016,0.545972040089362,5.45972040089362,0.0,0.2388627675390958,0.1364930100223405,120.3868348397043,0.0,4.060667048164629,8.121334096329258,0.3753557775614364,0.1364930100223405,8.496689873890697,19.7232399482282,9.349771186530324,14.604752072390433,0.5118487875837768,0.0341232525055851
